SYMBOL,DATE,TIME,BID
SPY,19970102,9:00:55,0
SPY,19970102,9:00:55,0
SPY,19970102,9:00:55,0
SPY,19970102,9:32:43,74.25
SPY,19970102,9:32:56,74.25
SPY,19970102,9:33:04,74.25
SPY,19970102,9:34:09,74.28125
SPY,19970102,9:34:29,74.28125
SPY,19970102,9:34:37,74.28125
SPY,19970102,9:34:38,74.25
SPY,19970102,9:34:54,74.21875
SPY,19970102,9:34:59,74.09375
SPY,19970102,9:35:27,74.1875
SPY,19970102,9:36:17,74.1875
SPY,19970102,9:36:56,74.1875
SPY,19970102,9:37:19,74.1875
SPY,19970102,9:37:41,74.17187
SPY,19970102,9:38:04,74.17187
SPY,19970102,9:38:06,74.15625
SPY,19970102,9:38:28,74.15625
SPY,19970102,9:38:34,74.14062
SPY,19970102,9:38:39,74.125
SPY,19970102,9:38:54,74.10937
SPY,19970102,9:39:10,74.09375
SPY,19970102,9:39:43,74.09375
SPY,19970102,9:40:05,74.0625
SPY,19970102,9:40:08,73.9375
SPY,19970102,9:40:41,74.0625
SPY,19970102,9:40:47,74.04687
SPY,19970102,9:40:53,74.03125
SPY,19970102,9:41:15,74
SPY,19970102,9:41:24,73.96875
SPY,19970102,9:41:56,73.9375
SPY,19970102,9:42:40,73.9375
SPY,19970102,9:42:44,73.8125
SPY,19970102,9:43:09,73.9375
SPY,19970102,9:43:23,73.9375
SPY,19970102,9:43:50,73.90625
SPY,19970102,9:43:55,73.90625
SPY,19970102,9:44:11,73.90625
SPY,19970102,9:44:26,73.875
SPY,19970102,9:44:30,73.75
SPY,19970102,9:44:45,73.84375
SPY,19970102,9:44:54,73.8125
SPY,19970102,9:45:25,73.78125
SPY,19970102,9:45:31,73.8125
SPY,19970102,9:45:44,73.78125
SPY,19970102,9:46:06,73.75
SPY,19970102,9:46:14,73.75
SPY,19970102,9:46:37,73.75
SPY,19970102,9:47:22,73.75
SPY,19970102,9:47:36,73.73437
SPY,19970102,9:47:41,73.60937
SPY,19970102,9:47:56,73.71875
SPY,19970102,9:47:56,73.70312
SPY,19970102,9:48:44,73.6875
SPY,19970102,9:48:53,73.65625
SPY,19970102,9:48:56,73.64062
SPY,19970102,9:48:56,73.625
SPY,19970102,9:48:57,73.60937
SPY,19970102,9:48:58,73.59375
SPY,19970102,9:49:01,73.57812
SPY,19970102,9:49:01,73.5625
SPY,19970102,9:49:02,73.46875
SPY,19970102,9:49:04,73.54687
SPY,19970102,9:49:13,73.51562
SPY,19970102,9:49:14,73.57812
SPY,19970102,9:49:18,73.59375
SPY,19970102,9:49:38,73.60937
SPY,19970102,9:49:41,73.625
