date,return
2007-01-03,0.01910853606852436
2007-01-04,0.017489021993661945
2007-01-05,0.02445808853895286
2007-01-08,0.02309171772058584
2007-01-09,0.022555869372304343
2007-01-10,0.013637361198060867
2007-01-11,0.0039208367172518825
2007-01-12,0.006613236756432993
2007-01-16,0.014330803623441937
2007-01-17,0.015081302060832073
2007-01-18,0.018386375441302855
2007-01-19,0.017802057385268175
2007-01-22,0.02154916486754883
2007-01-23,0.017033168452361615
2007-01-24,0.006026727663318135
2007-01-25,0.01600196345909563
2007-01-26,-0.020060214295487162
2007-01-29,-0.010819661694445575
2007-01-30,-0.01945460102146152
2007-01-31,-0.03820604179120659
2007-02-01,-0.05395492717930668
2007-02-02,-0.03905769553650451
2007-02-05,-0.04092567237397131
2007-02-06,-0.03370037827797043
2007-02-07,-0.03449321159786768
2007-02-08,-0.031541779585502805
2007-02-09,-0.04476350887705681
2007-02-12,-0.03425977113684578
2007-02-13,-0.03886970697298538
2007-02-14,-0.05478476806020216
2007-02-15,-0.04400539896887194
2007-02-16,-0.037479002272829715
2007-02-20,-0.023857567180916486
2007-02-21,-0.022028387531039473
2007-02-22,-0.020463864279243724
2007-02-23,-0.017094199064805388
2007-02-26,-0.021300896206563905
2007-02-27,0.008363231439208588
2007-02-28,0.003986615928102748
2007-03-01,0.005843585219765761
2007-03-02,0.019555627960113505
2007-03-05,0.03976517418435536
2007-03-06,0.02405230470384546
2007-03-07,0.029745228425418813
2007-03-08,0.02287540629664361
2007-03-09,0.02440704768948693
2007-03-12,0.016053060700452464
2007-03-13,0.04199533729360817
2007-03-14,0.038879024823308066
2007-03-15,0.04557933005630163
2007-03-16,0.05640654817731134
2007-03-19,0.04538879400077571
2007-03-20,0.03979413193388572
2007-03-21,0.031862266915880455
2007-03-22,0.02921829066648416
2007-03-23,0.027939438021183552
2007-03-26,0.037048737338246374
2007-03-27,0.04186423595431691
2007-03-28,0.04945990863212803
2007-03-29,0.038007891484976186
2007-03-30,0.041808017558993944
2007-04-02,0.046658904342505005
2007-04-03,0.041099238465946986
2007-04-04,0.04319309808315694
2007-04-05,0.04118445458730763
2007-04-09,0.040004838752204425
2007-04-10,0.04013189966714792
2007-04-11,0.03448623238456124
2007-04-12,0.03714656333510806
2007-04-13,0.03174059876304282
2007-04-16,0.020979723347906744
2007-04-17,0.026017243892909325
2007-04-18,0.024255520910512772
2007-04-19,0.03149212835223813
2007-04-20,0.024165126809003363
2007-04-23,0.025771047439798783
2007-04-24,0.02522675120140905
2007-04-25,0.006374710993491486
2007-04-26,0.011739208066588281
2007-04-27,0.014212565990194947
2007-04-30,0.030066517579132455
2007-05-01,0.0274393688805
2007-05-02,0.024930478188629607
2007-05-03,0.022019127201926506
2007-05-04,0.01398973522400725
2007-05-07,0.002606214955644977
2007-05-08,-0.01462867354290835
2007-05-09,-0.005854639187625632
2007-05-10,0.008661193731741719
2007-05-11,-0.011063302983459065
2007-05-14,0.005939428473217942
2007-05-15,0.011785020060494582
2007-05-16,0.00603021110476396
2007-05-17,0.006070914787257648
2007-05-18,0.00039634479860567624
2007-05-21,-0.014359639532329563
2007-05-22,-0.007800398357181245
2007-05-23,-0.017298308801628904
2007-05-24,-0.013347113460983388
2007-05-25,-0.023097349914146765
2007-05-29,-0.014510645901706398
2007-05-30,-0.02326392533684784
2007-05-31,-0.024696988309726064
2007-06-01,-0.018106656232454832
2007-06-04,-0.016776124364912874
2007-06-05,-0.010923350467138033
2007-06-06,0.0028901426303461174
2007-06-07,0.021464334125209403
2007-06-08,-0.004472109308711352
2007-06-11,-0.0006157980119456752
2007-06-12,0.028286166449017824
2007-06-13,0.01574813718991997
2007-06-14,0.00955877884003921
2007-06-15,0.007173656267481145
2007-06-18,0.006403562410511354
2007-06-19,0.008831481949941362
2007-06-20,0.01083074637416364
2007-06-21,0.009731353302085357
2007-06-22,0.0008121041267560962
2007-06-25,0.01023684733913995
2007-06-26,-0.008146054160225208
2007-06-27,-0.03576706549987465
2007-06-28,-0.024705406641386554
2007-06-29,-0.03739515944535887
2007-07-02,-0.03976390153502746
2007-07-03,-0.03647103760407754
2007-07-05,-0.0644310957649557
2007-07-06,-0.04759449063442022
2007-07-09,-0.03910424723610711
2007-07-10,-0.011225491867213215
2007-07-11,-0.044783988516225164
2007-07-12,-0.0652700908835665
2007-07-13,-0.0670270722967265
2007-07-16,-0.08486605446512852
2007-07-17,-0.09707923759576104
2007-07-18,-0.08891046902551147
2007-07-19,-0.07277069915334294
2007-07-20,-0.06156580804435707
2007-07-23,-0.06451035957075618
2007-07-24,-0.0337971427199758
2007-07-25,-0.038762123232000505
2007-07-26,-0.0035864181320623897
2007-07-27,0.004161623549618194
2007-07-30,-0.028164223241392665
2007-07-31,0.0059221875653339764
2007-08-01,-0.006199114797299225
2007-08-02,-0.0020736853870095204
2007-08-03,0.036293841846149685
2007-08-06,0.003910287869594822
2007-08-07,-0.0006880313928597157
2007-08-08,-0.029760395552122853
2007-08-09,-0.0044303839149390754
2007-08-10,0.01125981672705019
2007-08-13,0.011598407576132726
2007-08-14,0.03783341847875602
2007-08-15,0.05147810095883561
2007-08-16,0.040315784471756544
2007-08-17,0.04773984542380985
2007-08-20,0.05462472892281818
2007-08-21,0.04602594669202131
2007-08-22,0.034157271048219126
2007-08-23,0.03158486633609578
2007-08-24,0.019095264170754477
2007-08-27,0.03272036965897356
2007-08-28,0.059208090713881084
2007-08-29,0.03636600976950456
2007-08-30,0.05264368494109525
2007-08-31,0.0419174655484334
2007-09-04,0.02706117116835459
2007-09-05,0.04069755228133634
