date,rtrn
2007-01-03,0.04928654532543959
2007-01-04,0.05000273973491866
2007-01-05,0.06748762560058857
2007-01-08,0.06041242100469923
2007-01-09,0.06911865091861628
2007-01-10,0.06434921071028796
2007-01-11,0.05397302088201019
2007-01-12,0.054338347233808336
2007-01-16,0.04558096633194588
2007-01-17,0.038419746693172684
2007-01-18,0.04495534458111818
2007-01-19,0.039898734682120206
2007-01-22,0.01945089211797892
2007-01-23,0.01885508768626394
2007-01-24,0.0202876155177243
2007-01-25,0.029071064483651772
2007-01-26,0.029446393052881107
2007-01-29,0.044466673468674334
2007-01-30,0.04266383649947558
2007-01-31,0.02922505397527269
2007-02-01,0.03489895574939153
2007-02-02,0.0073259127012314795
2007-02-05,0.010524503881289475
2007-02-06,0.0031223779791616744
2007-02-07,0.013843744036375694
2007-02-08,-0.01255173868592111
2007-02-09,-0.009525892764910539
2007-02-12,-0.019460286490586103
2007-02-13,-0.03746720702084326
2007-02-14,-0.015900628155682203
2007-02-15,-0.02196291420718387
2007-02-16,-0.0349336121898353
2007-02-20,-0.033276076608646385
2007-02-21,-0.04851087138970826
2007-02-22,-0.04274643037669722
2007-02-23,-0.056672117791271834
2007-02-26,-0.040280048836692325
2007-02-27,-0.025736138619096224
2007-02-28,-0.019075739177489268
2007-03-01,0.013430064273672772
2007-03-02,0.02565220328441918
2007-03-05,0.044654280037108224
2007-03-06,0.021409559383687587
2007-03-07,0.017468734058536987
2007-03-08,0.025207644045434078
2007-03-09,0.03888633884562788
2007-03-12,0.034957673744082235
2007-03-13,0.06361120238522215
2007-03-14,0.03161999090307682
2007-03-15,0.03533969997245974
2007-03-16,0.043409376604331834
2007-03-19,0.018111063569925076
2007-03-20,-0.003079502197340771
2007-03-21,-0.013438270996540375
2007-03-22,-0.014375060384968259
2007-03-23,-0.009572098555114624
2007-03-26,0.00037276809973000577
2007-03-27,0.010991669932149329
2007-03-28,0.023728085335508353
2007-03-29,0.007415785579867395
2007-03-30,0.007967285831543568
2007-04-02,-0.0023386843239869884
2007-04-03,-0.02394930171654855
2007-04-04,-0.025397662311610385
2007-04-05,-0.05334368021870279
2007-04-09,-0.05066779012780906
2007-04-10,-0.07191581641410805
2007-04-11,-0.05155468523316045
2007-04-12,-0.05116315067082039
2007-04-13,-0.06645837074337499
2007-04-16,-0.06618013053977212
2007-04-17,-0.09360293021169477
2007-04-18,-0.10005821200520199
2007-04-19,-0.12880342831819386
2007-04-20,-0.14277354176176055
2007-04-23,-0.15229871352110919
2007-04-24,-0.13030473909532952
2007-04-25,-0.1305527100522351
2007-04-26,-0.1452048561647816
2007-04-27,-0.1276720796616074
2007-04-30,-0.11438788940220812
2007-05-01,-0.1242501857801329
2007-05-02,-0.11422137665758411
2007-05-03,-0.10308162645991747
2007-05-04,-0.11594728394099832
2007-05-07,-0.14814830431251141
2007-05-08,-0.156488013327697
2007-05-09,-0.15071396025301398
2007-05-10,-0.14350162007890735
2007-05-11,-0.146287032444047
2007-05-14,-0.13642504983511336
2007-05-15,-0.12313283997057001
2007-05-16,-0.1426049001818757
2007-05-17,-0.14114653671794525
2007-05-18,-0.1483897432522788
2007-05-21,-0.1418950934468285
2007-05-22,-0.15338197033503023
2007-05-23,-0.14677003360805302
2007-05-24,-0.12163829827945236
2007-05-25,-0.1189127773280052
2007-05-29,-0.12281641696418147
2007-05-30,-0.13864867674036035
2007-05-31,-0.1653104769491661
2007-06-01,-0.1696467393927077
2007-06-04,-0.17434830391589454
2007-06-05,-0.16344387425339485
2007-06-06,-0.1751951150457853
2007-06-07,-0.16628984199171992
2007-06-08,-0.19131679758492995
2007-06-11,-0.15910719654400957
2007-06-12,-0.1558772841798027
2007-06-13,-0.16711971962989902
2007-06-14,-0.19259224366992492
2007-06-15,-0.2029986519057863
2007-06-18,-0.1616009537448588
2007-06-19,-0.1856410903706246
2007-06-20,-0.1551968789373586
2007-06-21,-0.1439652637475059
2007-06-22,-0.13210087449261407
2007-06-25,-0.13524165924990594
2007-06-26,-0.13972004933285623
2007-06-27,-0.15903948098983928
2007-06-28,-0.15460607534126056
2007-06-29,-0.11686471460489735
2007-07-02,-0.12818817375155261
2007-07-03,-0.13003981283444566
2007-07-05,-0.12966919641688174
2007-07-06,-0.13247439048341247
2007-07-09,-0.1369972962755454
2007-07-10,-0.13058402700322558
2007-07-11,-0.13294395952283794
2007-07-12,-0.17023411881171868
2007-07-13,-0.1765742900720128
2007-07-16,-0.17025298131190436
2007-07-17,-0.14929314552902145
2007-07-18,-0.1461367044626556
2007-07-19,-0.1319220286802713
2007-07-20,-0.12103542681792578
2007-07-23,-0.13354376712159272
2007-07-24,-0.11235917324525757
2007-07-25,-0.11046724384332156
2007-07-26,-0.07984637972454553
2007-07-27,-0.06411047338782973
2007-07-30,-0.07829420042133112
2007-07-31,-0.06789871670128177
2007-08-01,-0.05882193781000793
2007-08-02,-0.06167460633430209
2007-08-03,-0.03906542115356253
2007-08-06,-0.051891851072328174
2007-08-07,-0.07883350539400995
2007-08-08,-0.08882373106164286
2007-08-09,-0.06713995324628434
2007-08-10,-0.05391455270681643
2007-08-13,-0.055149329008591194
2007-08-14,-0.032249507508547146
2007-08-15,-0.008226396412298543
2007-08-16,-0.013662210823632495
2007-08-17,-0.03275777688697517
2007-08-20,-0.04002797120230594
2007-08-21,-0.05909737281376887
2007-08-22,-0.0686667763637957
2007-08-23,-0.07965166292897546
2007-08-24,-0.08482797092276884
2007-08-27,-0.07154173768888844
2007-08-28,-0.04481835171739468
2007-08-29,-0.06374586003700894
