date,rtrnm,rfy,excess_return
1996-09-30,0.054173,0.0499770500729165,0.5843105724142892
1996-10-31,0.026131,0.0511202197185525,0.2596885555361715
1996-11-29,0.073376,0.05091128036781999,0.8000481859724892
1996-12-31,-0.021505,0.051409896822591,-0.3110072466067167
1997-01-31,0.061316999999999997,0.05121930114479999,0.6641763473422178
1997-02-28,0.005928,0.051938107281893,0.020291703273992844
1997-03-31,-0.042614,0.052850943092188504,-0.5740851694269045
1997-04-30,0.05840599999999999,0.0526646719463775,0.6298433005989357
1997-05-30,0.058577,0.0515016740763965,0.6328873325173031
1997-06-30,0.043453,0.05143941033874651,0.4602647771308062
1997-07-31,0.078123,0.051993174302415,0.851972167972057
1997-08-29,-0.057446000000000004,0.05181343282678601,-0.7604605558246222
1997-09-30,0.05315399999999999,0.05007965521831251,0.5726076318525395
1997-10-31,-0.034477999999999995,0.051630031908586,-0.4713780667899426
1997-11-28,0.044587,0.05260568421872851,0.47219040975862747
1997-12-31,0.015732,0.053101356857659,0.13557493414850577
1998-01-30,0.01015,0.0515016740763965,0.07096670788555773
1998-02-27,0.070449,0.052785435247869,0.7654987922910265
1998-03-31,0.049946,0.051307172452615506,0.5348304952693375
1998-04-30,0.009076,0.049426202988793994,0.06017718617749413
1998-05-29,-0.018826,0.049807731319871,-0.2766726157462646
1998-06-30,0.039438,0.05043412384571,0.4149586597264763
1998-07-31,-0.011615,0.050397964387772005,-0.1893648783636534
1998-08-31,-0.145797,0.048210702241709494,-1.9381215197224764
1998-09-30,0.06239600000000001,0.043095368341738494,0.6841282076646162
1998-10-30,0.080294,0.04306464353554549,0.8846355631915109
1998-11-30,0.059126,0.044619418251019505,0.6456758505187947
1998-12-31,0.056375,0.0443228113840535,0.6147501826175189
1999-01-29,0.041009,0.044345736371230494,0.43889462179927935
1999-02-26,-0.032283,0.046396327013427496,-0.4391392694569844
1999-03-31,0.038794,0.0445049407226485,0.41318206650332445
1999-04-30,0.037944,0.045140217207179,0.4027509450550672
1999-05-28,-0.02497,0.046088672311382,-0.34850260553655615
1999-06-30,0.054438,0.047402545699988,0.5897817494901724
1999-07-30,-0.032046,0.047062992276716994,-0.4368376565720871
1999-08-31,-0.006254,0.0489254910555465,-0.12304995649294861
1999-09-30,-0.028551999999999998,0.04804072027756,-0.3945328852496807
1999-10-29,0.062539,0.0504749566685255,0.6786935227227316
1999-11-30,0.019062,0.052514352630477,0.17540923306711828
1999-12-31,0.057844000000000007,0.05327337008634551,0.6228916844164063
2000-01-31,-0.050904000000000005,0.05634331808219599,-0.6817571607500117
2000-02-29,-0.020108,0.05729535361569651,-0.2994691038363574
2000-03-31,0.09672,0.05818167312047701,1.0513348533266407
2000-04-28,-0.030795999999999997,0.05777027832969751,-0.43152513682519744
2000-05-31,-0.021915,0.055799593143982,-0.3202027959561786
2000-06-30,0.023934,0.05825881428988851,0.2271999274785563
2000-07-31,-0.016341,0.06169022844508851,-0.25757403377755994
2000-08-31,0.060699,0.0625607107741785,0.6464557373262361
2000-09-29,-0.053483,0.06157727341664851,-0.7193519669728136
2000-10-31,-0.004949,0.06289392280084051,-0.12053074624503886
2000-11-30,-0.080069,0.061582494592562,-1.0612400552749164
2000-12-29,0.004053,0.058438816058262,-0.008257302775892546
2001-01-31,0.034637,0.04958355558145801,0.36021421497111455
2001-02-28,-0.092291,0.048300463392435995,-1.2091474824601092
2001-03-30,-0.064205,0.04270498542647801,-0.8381244071040829
2001-04-30,0.076814,0.038629029626747,0.8501785729502117
2001-05-31,0.00509,0.036027640743566,0.025531253147605626
2001-06-29,-0.025004,0.0362815993843505,-0.33950184766179226
2001-07-31,-0.010772,0.035187125964452504,-0.16454746481539745
2001-08-31,-0.064108,0.033418210505989004,-0.827934283976054
2001-09-28,-0.081723,0.023412240172654995,-1.0462166691088755
2001-10-31,0.018099,0.0202533447629855,0.19519498123066198
2001-11-30,0.07517599999999999,0.017832899913229498,0.8521366701219479
2001-12-31,0.007573999999999999,0.017118906596624,0.07357150606951349
2002-01-31,-0.015574000000000001,0.017578742584726997,-0.20578460906671145
2002-02-28,-0.020766,0.017553284111625503,-0.26921675189661387
2002-03-28,0.036739,0.017833336203566003,0.4152863322690034
2002-04-30,-0.06141799999999999,0.0175032082013825,-0.7779724310024602
2002-05-31,-0.009081,0.017221931778569,-0.1265451186232236
2002-06-28,-0.072465,0.016865576200970497,-0.919421923898395
2002-07-31,-0.07899500000000001,0.016917267390744502,-1.0042535304114026
2002-08-30,0.004881,0.016662339339175,0.0419044729263131
2002-09-30,-0.11001300000000001,0.015414045404068499,-1.4138775330712738
2002-10-31,0.086436,0.014346808687025502,0.9805865037780966
2002-11-29,0.05707,0.012184953567739,0.6538998437214394
2002-12-31,-0.060333000000000005,0.011931312200241502,-0.7586173568475587
2003-01-31,-0.027415,0.01167651558598,-0.34518251565673763
2003-02-28,-0.017004,0.0120578380963635,-0.2177884577321769
2003-03-31,0.008357999999999999,0.011015142381900999,0.08892426635067076
2003-04-30,0.081044,0.011117646363836999,0.9240705909749808
2003-05-30,0.050899,0.011117307418198502,0.584695895500025
2003-06-30,0.011322,0.0089833004559652,0.12615743976014682
2003-07-31,0.016224000000000002,0.009389454011119751,0.1837799204714013
2003-08-29,0.017873,0.00987220899107405,0.20275807400832774
2003-09-30,-0.011944,0.009364408124368551,-0.15351166601777613
2003-10-31,0.054962000000000004,0.0093385215169319,0.6327617807616243
2003-11-28,0.007129000000000001,0.00923690016918835,0.0760500048088225
2003-12-31,0.050765,0.009338760641664301,0.5849262198096907
