date,rtrn,rf,excess_return
2007-01-03,,0.00019630555730058087,
2007-01-04,0.0013422346686819964,0.00019630555730058087,0.0011459291113814156
2007-01-05,-0.006693726184891169,0.00019630555730058087,-0.0068900317421917495
2007-01-08,0.0032284987154351796,0.00019630555730058087,0.0030321931581345986
2007-01-09,-0.0006377777206587609,0.00019630555730058087,-0.0008340832779593417
2007-01-10,0.002477965089684453,0.00019630555730058087,0.002281659532383872
2007-01-11,0.005957329425736901,0.00019630555730058087,0.005761023868436321
2007-01-12,0.0053279245527608765,0.00019630555730058087,0.005131618995460296
2007-01-16,-6.992029089758489e-05,0.00019630555730058087,-0.00026622584819816576
2007-01-17,0.00017479156150912445,0.00019630555730058087,-2.1513995791456423e-05
2007-01-18,-0.003957765704140748,0.00019630555730058087,-0.004154071261441328
2007-01-19,0.0031534714289715993,0.00019630555730058087,0.0029571658716710182
2007-01-22,-0.005015178765430228,0.00019630555730058087,-0.005211484322730809
2007-01-23,0.0040351639867735045,0.00019630555730058087,0.0038388584294729235
2007-01-24,0.007674367033776441,0.00019630555730058087,0.007478061476475861
2007-01-25,-0.01111200196110218,0.00019630555730058087,-0.011308307518402762
2007-01-26,-0.0010898800453036372,0.00019630555730058087,-0.001286185602604218
2007-01-29,-0.001231939051637987,0.00019630555730058087,-0.0014282446089385677
2007-01-30,0.005619373477723677,0.00019630555730058087,0.005423067920423096
2007-01-31,0.00684097463900013,0.00019630555730058087,0.00664466908169955
2007-02-01,0.005515389391000269,0.00019727508019091672,0.005318114310809353
2007-02-02,0.0016935975706253714,0.00019727508019091672,0.0014963224904344548
2007-02-05,-0.0002763098832900823,0.00019727508019091672,-0.00047358496348099907
2007-02-06,0.0002763098832900823,0.00019727508019091672,7.903480309916561e-05
2007-02-07,0.0018630974199584927,0.00019727508019091672,0.001665822339767576
2007-02-08,-0.0011726565460499216,0.00019727508019091672,-0.0013699316262408383
2007-02-09,-0.006439573561668688,0.00019727508019091672,-0.006636848641859604
2007-02-12,-0.003758225532181747,0.00019727508019091672,-0.003955500612372664
2007-02-13,0.008021294114832322,0.00019727508019091672,0.007824019034641406
2007-02-14,0.007648616099001693,0.00019727508019091672,0.007451341018810776
2007-02-15,0.0009262595217895964,0.00019727508019091672,0.0007289844415986796
2007-02-16,-0.0006517228007796305,0.00019727508019091672,-0.0008489978809705473
2007-02-20,0.0025701228958272537,0.00019727508019091672,0.002372847815636337
2007-02-21,-0.0012671017602592372,0.00019727508019091672,-0.0014643768404501538
2007-02-22,-0.00047986290552337607,0.00019727508019091672,-0.0006771379857142928
2007-02-23,-0.0033311042323767026,0.00019727508019091672,-0.0035283793125676192
2007-02-26,-0.0011357966424343502,0.00019727508019091672,-0.0013330717226252668
2007-02-27,-0.03715108827699609,0.00019727508019091672,-0.03734836335718701
2007-02-28,0.008009583072293935,0.00019727508019091672,0.007812307992103019
2007-03-01,-0.003018307424335731,0.00019356398225711446,-0.0032118714065928456
2007-03-02,-0.011913207705788409,0.00019356398225711446,-0.012106771688045524
2007-03-05,-0.010237207095033618,0.00019356398225711446,-0.010430771077290733
2007-03-06,0.016587118115493737,0.00019356398225711446,0.016393554133236624
2007-03-07,-0.0021479978186906834,0.00019356398225711446,-0.002341561800947798
2007-03-08,0.00749789288135716,0.00019356398225711446,0.007304328899100046
2007-03-09,0.001066553002127435,0.00019356398225711446,0.0008729890198703205
2007-03-12,0.0017750643683811518,0.00019356398225711446,0.0015815003861240373
2007-03-13,-0.019665013951156496,0.00019356398225711446,-0.01985857793341361
2007-03-14,0.00674180111009548,0.00019356398225711446,0.006548237127838366
2007-03-15,0.0034076471807589215,0.00019356398225711446,0.003214083198501807
2007-03-16,-0.008270156086148894,0.00019356398225711446,-0.00846372006840601
2007-03-19,0.011701917515186011,0.00019356398225711446,0.011508353532928896
2007-03-20,0.005870962797328794,0.00019356398225711446,0.00567739881507168
2007-03-21,0.01618784688980668,0.00019356398225711446,0.015994282907549565
2007-03-22,0.000558366791683973,0.00019356398225711446,0.0003648028094268585
2007-03-23,0.0010809492483385696,0.00019356398225711446,0.0008873852660814551
2007-03-26,3.4849884127829966e-05,0.00019356398225711446,-0.0001587140981292845
2007-03-27,-0.0053462048821266706,0.00019356398225711446,-0.005539768864383785
2007-03-28,-0.007490671729157405,0.00019356398225711446,-0.0076842357114145195
2007-03-29,0.0036292564632542934,0.00019356398225711446,0.003435692480997179
2007-03-30,-0.001161338132672718,0.00019356398225711446,-0.0013549021149298324
2007-04-02,0.0017942272927164993,0.0001889562404142797,0.0016052710523022195
2007-04-03,0.009967731387365397,0.0001889562404142797,0.009778775146951118
2007-04-04,0.0008696408931410105,0.0001889562404142797,0.0006806846527267307
2007-04-05,0.003540318161039835,0.0001889562404142797,0.003351361920625555
2007-04-09,0.0006234630107391226,0.0001889562404142797,0.00043450677032484284
2007-04-10,0.0025935866531279217,0.0001889562404142797,0.002404630412713642
2007-04-11,-0.006583530362496148,0.0001889562404142797,-0.006772486602910428
2007-04-12,0.0062726549001563825,0.0001889562404142797,0.006083698659742103
2007-04-13,0.0036208808979525386,0.0001889562404142797,0.003431924657538259
2007-04-16,0.010103344671909653,0.0001889562404142797,0.009914388431495374
2007-04-17,0.0025524542930179805,0.0001889562404142797,0.002363498052603701
2007-04-18,0.0006795555968075462,0.0001889562404142797,0.0004905993563932664
2007-04-19,0.0002716929885959729,0.0001889562404142797,8.27367481816932e-05
2007-04-20,0.008251374129958577,0.0001889562404142797,0.008062417889544298
2007-04-23,-0.0020902171995551555,0.0001889562404142797,-0.0022791734399694352
