,rv,rv_u,rv_d,rv_sc,rv_u_sc,rv_d_sc
2007-01-04,4.142531575714906e-05,1.969107717978744e-05,2.17342385773616e-05,0.24944419579098784,1.6726537466353153e-05,1.846209593043813e-05
2007-01-05,4.7815902800312415e-05,1.034247116298856e-05,3.747343163732385e-05,0.28792537128665285,8.785386894932309e-06,3.183171507335929e-05
2007-01-08,2.3335078106194387e-05,1.286462432471502e-05,1.0470453781479355e-05,0.14051310618954085,1.0927823744390339e-05,8.894101417946096e-06
2007-01-09,2.7329882623719834e-05,1.4439893912919393e-05,1.2889988710800451e-05,0.1645679813788596,1.2265932652609627e-05,1.0949369460264353e-05
2007-01-10,3.842380348222412e-05,1.3240401418096913e-05,2.5183402064127203e-05,0.23137046957089935,1.1247026679509673e-05,2.1391979438699557e-05
2007-01-11,1.9099515902333275e-05,1.2714479956773088e-05,6.385035945560185e-06,0.11500849896195431,1.0800283977377463e-05,5.423753205185342e-06
2007-01-12,1.3223855579607008e-05,8.701423208040396e-06,4.522432371566612e-06,0.07962797530980732,7.391402713574334e-06,3.841569143800078e-06
2007-01-16,1.057465365734473e-05,4.8756481484369954e-06,5.699005508907732e-06,0.06367569997023771,4.1416074236557905e-06,4.841006324608149e-06
2007-01-17,1.9814052919402357e-05,8.616410733887852e-06,1.1197642185514511e-05,0.11931111219079685,7.319189074826346e-06,9.511809833495706e-06
2007-01-18,1.886938301320417e-05,6.6191020648949595e-06,1.2250280948309194e-05,0.11362274456504402,5.622580099159217e-06,1.0405971262231266e-05
2007-01-19,1.2070441948873505e-05,6.827091737232463e-06,5.243350211641047e-06,0.07268264899728477,5.7992564188548635e-06,4.4539510440927255e-06
2007-01-22,1.377253069083421e-05,4.4863705488026885e-06,9.28616014203152e-06,0.0829318444383602,3.810936516440061e-06,7.888106075460633e-06
2007-01-23,1.303009559205969e-05,8.662701624038043e-06,4.3673939680216485e-06,0.078461241794641,7.358510758519852e-06,3.7098721501851045e-06
2007-01-24,1.6589420949761248e-05,1.3696045831189056e-05,2.893375118572192e-06,0.09989386180447431,1.1634072714489588e-05,2.4577704349607447e-06
2007-01-25,1.605433152685915e-05,3.096085429511703e-06,1.2958246097347448e-05,0.09667179944158108,2.629962213997915e-06,1.100735053072634e-05
2007-01-26,3.516474699339538e-05,1.996889765076378e-05,1.5195849342631605e-05,0.21174593056535201,1.696253138757325e-05,1.2908077147932302e-05
2007-01-29,1.5748505627998884e-05,8.002287775857007e-06,7.746217852141883e-06,0.09483025655895164,6.797523826518106e-06,6.580005854600154e-06
2007-01-30,2.452224113793335e-05,1.876048040965807e-05,5.761760728275286e-06,0.1476616558701504,1.5936044310518384e-05,4.89431359258423e-06
2007-01-31,2.680328139793423e-05,2.022903168380962e-05,6.574249714124612e-06,0.16139703103442032,1.718350160724621e-05,5.584480379232045e-06
2007-02-01,2.520530716250851e-05,1.980882352180935e-05,5.3964836406991536e-06,0.15177476525889155,1.6826556809295812e-05,4.584029861777762e-06
2007-02-02,1.543281846807455e-05,9.447267708422073e-06,5.985550759652471e-06,0.09292933369838716,8.024958504646718e-06,5.0844114887150315e-06
2007-02-05,9.319972845638212e-06,4.025735352970324e-06,5.294237492667885e-06,0.056120589276929256,3.4196510732384143e-06,4.497177120801721e-06
2007-02-06,8.490321874594594e-06,4.64303489768437e-06,3.847286976910225e-06,0.051124812769819054,3.944014665354185e-06,3.268068535588163e-06
2007-02-07,1.8383021448217124e-05,1.4196645381400888e-05,4.18637606681623e-06,0.11069409894763789,1.2059305781010338e-05,3.556106935669515e-06
2007-02-08,2.2488486282214697e-05,6.845837697106044e-06,1.5642648585108652e-05,0.13541531965886378,5.81518012873144e-06,1.3287609674314446e-05
2007-02-09,2.7782626750541473e-05,1.2721752376736451e-05,1.5060874373805024e-05,0.1672941982476985,1.0806461516771453e-05,1.279342298998633e-05
2007-02-12,9.51846845156834e-06,3.3404339593995987e-06,6.178034492168735e-06,0.057315838507606284,2.837523476528212e-06,5.247916325662277e-06
2007-02-13,2.566396199138262e-05,2.287401004620481e-05,2.7899519451778105e-06,0.15453657365655987,1.9430272023732592e-05,2.3699178726618173e-06
2007-02-14,2.2255595228614478e-05,2.018881216239724e-05,2.066783066217245e-06,0.13401295686426765,1.714933723291358e-05,1.7556238328796279e-06
