KYTREASNOX,MCALDT,TMBIDYTM,TMASKYTM
2000002,2007-11-30,3.1399713615871E+00,3.1297537974538E+00
2000002,2007-12-31,3.2315106937095E+00,3.2212935328537E+00
2000002,2008-01-31,1.9361237048220E+00,1.9259358861032E+00
2000002,2008-02-29,1.8342110025122E+00,1.8240262823822E+00
2000002,2008-03-31,1.3150449575126E+00,1.3048743617911E+00
2000002,2008-04-30,1.3863778156055E+00,1.3762035655447E+00
2000002,2008-05-30,1.8851384400500E+00,1.8749524409145E+00
2000002,2008-06-30,1.7322518110581E+00,1.7220710963994E+00
2000002,2008-07-31,1.6713244815101E+00,1.6611433863251E+00
2000002,2008-08-29,1.7222338341984E+00,1.7120514467153E+00
2000002,2008-09-30,6.7477846907372E-01,6.6462338282178E-01
2000002,2008-10-31,4.4128165708176E-01,4.3113185715739E-01
2000002,2008-11-28,3.5487663719052E-02,2.5348014355897E-02
2000002,2008-12-31,1.1661435889384E-01,1.0647261904862E-01
2000002,2009-01-30,2.4594261444567E-01,2.3579770201444E-01
2000002,2009-02-27,2.5862411186402E-01,2.4847888220604E-01
2000002,2009-03-31,2.0790227787319E-01,1.9775814784988E-01
2000002,2009-04-30,1.3182721668615E-01,1.2168512317681E-01
2000002,2009-05-29,1.3689810285449E-01,1.2675591775494E-01
2000002,2009-06-30,1.9268618115857E-01,1.7747067434585E-01
2000002,2009-07-31,1.8254107482295E-01,1.7239774822813E-01
2000002,2009-08-31,1.4196873825879E-01,1.3182650243160E-01
2000002,2009-09-30,1.1661435889384E-01,1.0647261904862E-01
2000002,2009-10-30,5.0697613111309E-02,4.0557583468585E-02
2000002,2009-11-30,5.5767595192385E-02,4.5627481039262E-02
2000002,2009-12-31,6.0837946994339E-02,5.0697648321654E-02
2000002,2010-01-29,8.1119223303848E-02,7.0978433016258E-02
2000002,2010-02-26,1.2168492031746E-01,1.1154311565921E-01
2000002,2010-03-31,1.5718391098024E-01,1.4704113402631E-01
2000002,2010-04-30,1.6225467532118E-01,1.5211185608923E-01
2000002,2010-05-28,1.6225467532118E-01,1.5211185608923E-01
2000002,2010-06-30,1.7747024283236E-01,1.6732694724447E-01
2000002,2010-07-30,1.4704054159751E-01,1.3689810285449E-01
2000002,2010-08-31,1.2168431174477E-01,1.1154260430591E-01
2000002,2010-09-30,1.6225503600837E-01,1.5211217308883E-01
2000002,2010-10-29,1.2168492031746E-01,1.1154311565921E-01
2000002,2010-11-30,1.7239896982304E-01,1.6225575738922E-01
2000002,2010-12-31,1.2675591775494E-01,1.1661398628615E-01
2000002,2011-01-31,1.4703965296631E-01,1.3689733259187E-01
2000002,2011-02-28,1.4196846213048E-01,1.3182626434907E-01
2000002,2011-03-31,1.0140170547772E-01,8.6189815306963E-02
2000002,2011-04-29,4.5627566598743E-02,3.5487663719052E-02
2000002,2011-05-31,6.0838048403904E-02,4.0557651070318E-02
2000002,2011-06-30,2.0278290372258E-02,1.0139017035271E-02
2000002,2011-07-29,1.0140156461269E-01,8.6189713536961E-02
2000002,2011-08-31,1.5208624833837E-02,5.0694768328413E-03
2000002,2011-09-30,2.5348014355897E-02,1.5208618496724E-02
2000002,2011-10-31,7.6042355802828E-03,-2.5347145652811E-03
2000002,2011-11-30,5.0694768328413E-03,-5.0694120565961E-03
2000002,2011-12-30,1.5208618496724E-02,5.0694761287030E-03
2000002,2012-01-31,6.0838048403904E-02,5.0697718742642E-02
2000002,2012-02-29,8.1119403599413E-02,7.0978571050377E-02
2000002,2012-03-30,7.6048796464178E-02,6.5908132958578E-02
2000002,2012-04-30,9.6330502806557E-02,8.6189408229128E-02
2000002,2012-05-31,7.0978502033276E-02,6.0837946994339E-02
2000002,2012-06-29,8.6189713536961E-02,8.1119223303848E-02
2000002,2012-07-31,1.0140198720963E-01,9.6331265577025E-02
2000002,2012-08-31,9.1260267165117E-02,8.1119223303848E-02
2000002,2012-09-28,9.6330884189827E-02,8.6189713536961E-02
2000002,2012-10-31,1.1661435889384E-01,1.0647261904862E-01
2000002,2012-11-30,8.1119223303848E-02,7.0978433016258E-02
2000002,2012-12-31,5.0697507480596E-02,4.0557515867060E-02
2000002,2013-01-31,8.1119313451452E-02,6.5908192467209E-02
2000002,2013-02-28,1.1154328611177E-01,1.0140170547772E-01
2000002,2013-03-28,8.1119313451452E-02,7.0978502033276E-02
2000002,2013-04-30,5.5767850823734E-02,5.0697718742642E-02
2000002,2013-05-31,4.0557583468585E-02,3.0417807348630E-02
2000002,2013-06-28,4.0557583468585E-02,3.0417807348630E-02
2000002,2013-07-31,4.0557628536320E-02,3.0417832698473E-02
2000002,2013-08-30,2.5348023157786E-02,2.0278290372258E-02
2000002,2013-09-30,2.0278267839843E-02,1.0139011402378E-02
2000002,2013-10-31,4.0557606002408E-02,3.0417820023608E-02
2000002,2013-11-29,6.5908132958578E-02,5.5767723007705E-02
2000002,2013-12-31,7.0978640067720E-02,6.5908311484648E-02
