IV_D_h1,IV_D_h2,IV_D_h3,IV_D_h6,IV_D_h9,IV_D_h12,date
0.00295609560107773,0.00604181779333161,0.00900889020167437,0.0172202504503825,0.0238508281968528,0.0296113721529654,03-Jan-2000
0.0036405127203149,0.00689728508534963,0.0100417402654786,0.019190771362093,0.0271368759021333,0.0336591875143248,04-Jan-2000
0.00332424776793234,0.00692092350082127,0.0102436934388674,0.0191357525130565,0.0270777228593202,0.033632280133873,05-Jan-2000
0.00334285369550474,0.00684770461692808,0.0103055721516228,0.0197331035826272,0.0270181594389332,0.0333305628027124,06-Jan-2000
0.0021074125106963,0.00497835480537274,0.00776342360179908,0.0155276504664041,0.0233326280607988,0.0310890701852268,07-Jan-2000
0.00216503619728461,0.00472658765424304,0.00742439698921335,0.0153762371039764,0.0225387138272677,0.0289978835658965,10-Jan-2000
0.00239064059021756,0.00508092759511162,0.00786276286277617,0.0159307372304958,0.023252607666105,0.0305514900472267,11-Jan-2000
0.00239141095841672,0.00538732523570252,0.00814699420067267,0.01635887773834,0.0241633703763929,0.0303008757236492,12-Jan-2000
0.00222714965965546,0.00487313941184324,0.00770909519579066,0.016334535317648,0.0242985142942449,0.0303440092648662,13-Jan-2000
0.00182483720466824,0.00428052720285354,0.00690198938521376,0.0145308587994551,0.0213008080037226,0.0274294093026813,14-Jan-2000
0.0020614462942196,0.00470850482228263,0.00729118570360078,0.0147999788433574,0.0216014483925523,0.0279119929042223,18-Jan-2000
0.00215586882779767,0.00471171418061619,0.00738845167417557,0.0154044301138576,0.0229170991941633,0.0296140833735374,19-Jan-2000
0.002185188111235,0.00509812495448377,0.00780677841022156,0.0158199553203647,0.0232293821863657,0.0299588101230529,20-Jan-2000
0.00199639706416165,0.00455045224467032,0.00725707947925412,0.0149787760306244,0.0223684099497462,0.0302133089006209,21-Jan-2000
0.00270014838385538,0.0053838733036231,0.00814779496989952,0.0168247297623455,0.0246728478732654,0.0313936348079899,24-Jan-2000
0.00248523263234925,0.00506436428363482,0.00776814419360857,0.0162745127208765,0.0240410165408445,0.0315594908126297,25-Jan-2000
0.00251359425304459,0.00522163563305648,0.00795772394897701,0.0161895223027533,0.0240335018073625,0.0313926205234448,26-Jan-2000
0.00258111797766987,0.00536547301687096,0.00826485985620184,0.0169697795497247,0.0246038664048667,0.0316579859525238,27-Jan-2000
0.00324877199711621,0.00618742065108705,0.00915362038518135,0.0183599271219583,0.0266550120746753,0.0348186036771388,28-Jan-2000
0.00282719978510826,0.00588468955614072,0.00896318434527028,0.017428602651506,0.0256068417187904,0.0331597399284469,31-Jan-2000
0.00256199023230246,0.00558414691421761,0.00846847330254684,0.016411127161571,0.0241637476532745,0.0313851644334866,01-Feb-2000
0.00238452677571655,0.00489146145155481,0.00765195934475717,0.0161556694500942,0.0236408743587295,0.0307477776522105,02-Feb-2000
0.00222186688691499,0.00463965855702886,0.00711879412799605,0.0151481619000224,0.0226992689074724,0.0293877950018201,03-Feb-2000
0.00211494780160801,0.00451917457083048,0.00713601985171748,0.0148495403662354,0.0219501126816006,0.0289225193759988,04-Feb-2000
0.00250862670000498,0.00509739437182723,0.00770530380839356,0.0153422336060914,0.0225183015417973,0.0294507379256939,07-Feb-2000
0.00211262488682341,0.00455708262607354,0.00709422370487786,0.0143826118381846,0.0215234254927083,0.0287408804257614,08-Feb-2000
0.00251567112685754,0.00509312020882271,0.00773910354486208,0.0155083924148564,0.0225514467268924,0.0292531572578975,09-Feb-2000
0.00252428827173802,0.00520326704591863,0.00792836683173099,0.0159273889072604,0.0234406114131887,0.0307415332039057,10-Feb-2000
0.00265137189458663,0.0053336745049832,0.00833591848743214,0.0168861254387371,0.0243898923783965,0.0315805006193114,11-Feb-2000
0.00281775022982606,0.00573535791743428,0.0085175357429488,0.0163140398016106,0.0239577603367173,0.0316466025232654,14-Feb-2000
0.00238579045601712,0.00512804887634399,0.00798662967793712,0.01638051682094,0.0235280143976433,0.0301143792703834,15-Feb-2000
0.00248994356116778,0.00532625088536436,0.00831394620322023,0.0167428768561376,0.0235378501430181,0.0296923306113829,16-Feb-2000
0.00245815132505271,0.00506189202796495,0.00813839163750044,0.0167027573252219,0.0232906254108636,0.0291541977018103,17-Feb-2000
0.00302781758869918,0.0060204919130061,0.00896033562167574,0.0173925584317847,0.0243472768405957,0.0307353616267705,18-Feb-2000
0.00328900588922537,0.00630965675316018,0.00972634461915563,0.0174991944619551,0.0252365947817236,0.032934162257732,22-Feb-2000
0.00264706153394384,0.00531855053935106,0.00832331898519617,0.0164137587399422,0.0234127871414023,0.0300677542931005,23-Feb-2000
0.00269675199933226,0.00550055021262569,0.00853251310325014,0.0166562875361045,0.0245866061563399,0.0324864530951376,24-Feb-2000
0.00283138568038873,0.00587531663118018,0.00891804082568157,0.0172963997658704,0.0244661058754261,0.0313879472069657,25-Feb-2000
0.00273831752569874,0.00551414066924865,0.00839970180446958,0.0171723524444305,0.0255734840757865,0.0339358334009917,28-Feb-2000
0.0025090229957691,0.00509980108477705,0.00782417647420896,0.0154702483286929,0.0223475776344729,0.0291010929209658,29-Feb-2000
0.00211731188998989,0.00463046675615486,0.00741591784092027,0.0151324083348628,0.0213979246414887,0.0273811046278383,01-Mar-2000
0.00195197932441773,0.00434501600415615,0.00703894015724001,0.0145794756423954,0.0212600960249104,0.0277981671989138,02-Mar-2000
0.00169171718511757,0.00390070904238841,0.00639263852295376,0.0143290881999785,0.0207776299256424,0.0269414871873914,03-Mar-2000
