IV_U_h1,IV_U_h2,IV_U_h3,IV_U_h6,IV_U_h9,IV_U_h12,date
0.00151530254821249,0.00349809763956446,0.00544982853758565,0.0109296997963172,0.0168727583856651,0.0222191552256325,03-Jan-2000
0.00195439019241452,0.00405298062002693,0.00615235037319855,0.0122379798375873,0.0186856233373625,0.0261569246980382,04-Jan-2000
0.00191820590653179,0.00384325180590728,0.00594673545281075,0.0126129363219374,0.0192919504699159,0.0264033620344194,05-Jan-2000
0.00185791878983858,0.00413345913318851,0.00647084149140639,0.0130081723544003,0.0191368330014252,0.0262435260781847,06-Jan-2000
0.00136638290077113,0.00290474718522704,0.00474798166361094,0.0106449351539376,0.0168668586718304,0.0239972572165054,07-Jan-2000
0.00119733390242587,0.00275650919547567,0.00449434678922041,0.0100935657059103,0.0165581605951433,0.0226796362874633,10-Jan-2000
0.00133569530228247,0.00309368973299364,0.00495191342724705,0.0108348440476621,0.0173967693625133,0.0237086048642098,11-Jan-2000
0.00156126542267763,0.00308280319073573,0.00509419888595453,0.0113090648561867,0.0178163533737241,0.0254569852406383,12-Jan-2000
0.00134596603522985,0.00310096696834309,0.00501176728254067,0.0107916701340943,0.0170535124440264,0.0243459168813887,13-Jan-2000
0.00107894959257419,0.00271545634240323,0.00442023949789364,0.00992205613080208,0.0164426303020328,0.0233215872065855,14-Jan-2000
0.00137939261574729,0.00302389028107484,0.00487703816938022,0.0106034973742976,0.016560816006546,0.0223912150401295,18-Jan-2000
0.00129048749112453,0.00293322772850269,0.00485335753294024,0.0104898354294161,0.0161459557257188,0.0221994667158965,19-Jan-2000
0.00134326356129884,0.00281710081100332,0.00472321351179064,0.0104777738250751,0.0166081102450403,0.0232525449524838,20-Jan-2000
0.00126813259626944,0.00289078560265572,0.0046704029635836,0.0104688669057406,0.0169419927286507,0.0233419626576733,21-Jan-2000
0.00159149938860765,0.00337296871280252,0.00525945626092888,0.0113044098494715,0.0180149613882991,0.0248332899248719,24-Jan-2000
0.00148505774183671,0.0032306550845033,0.00504948069626593,0.0112201110508836,0.0177688324640498,0.0238791971797031,25-Jan-2000
0.00142257353348107,0.00312149558606123,0.0049388001854282,0.0114048845110139,0.0177865311843385,0.0244280541428223,26-Jan-2000
0.00147513199267043,0.00323664703112404,0.00506933236871569,0.0113680785459849,0.0183693012581782,0.0254947832739379,27-Jan-2000
0.00194698771264776,0.00385124181993367,0.00575156649614092,0.0122549988299679,0.0194422783670463,0.0266429324819222,28-Jan-2000
0.0016940301047997,0.00347272729052557,0.00536924577679665,0.0119476698044664,0.0187160912268963,0.0253841130829042,31-Jan-2000
0.00144803452574799,0.00300013756540557,0.00493899824506325,0.0113453400918566,0.0180955996475242,0.0252566428946386,01-Feb-2000
0.00152289623513233,0.00323005079804504,0.00507578269747461,0.0114970880316989,0.0181153944243663,0.0243600091137256,02-Feb-2000
0.0012250720413794,0.00275365003448743,0.00452931798271382,0.0105451062721898,0.017048357003917,0.0239520134465352,03-Feb-2000
0.00135329570119331,0.00290780102424322,0.0045867976047433,0.0106158750816368,0.0173064971562953,0.0240904678118831,04-Feb-2000
0.00133067682778073,0.0028723258108751,0.0046543806639965,0.0105779317842043,0.0169705769698631,0.0236244061656076,07-Feb-2000
0.00127170169675788,0.00278008384886451,0.00456910478547132,0.0104579161737646,0.0165852839348475,0.022840281577206,08-Feb-2000
0.00133617054085439,0.00314515945993264,0.00500168829146307,0.0109862017831933,0.0176022076189117,0.0243645879289617,09-Feb-2000
0.00135448616991307,0.00295920592205378,0.00492667973048548,0.0114331987654119,0.0183521774203155,0.0254602372428175,10-Feb-2000
0.00166150751423519,0.00341458832334302,0.00527428034064402,0.0116454856395721,0.0186774033491582,0.0258609788853729,11-Feb-2000
0.00152460197374738,0.00319652374420004,0.00529044284930516,0.0120381998512253,0.0186418382361565,0.0251289699155652,14-Feb-2000
0.00148881960654373,0.00326623832974302,0.00534242328795437,0.0115887961607134,0.0182092094607826,0.0250596657654722,15-Feb-2000
0.00160754631715543,0.00336265704803733,0.00525899961934692,0.0117618765403954,0.0187901571889941,0.0258969033106945,16-Feb-2000
0.00165179070697287,0.00344332717949498,0.00539410184068641,0.01192769522463,0.0188951845089359,0.0259290065882815,17-Feb-2000
0.00205335220021169,0.00386731943011572,0.00580545581655029,0.0125171462025473,0.0195279085971294,0.0265039188927899,18-Feb-2000
0.00186726031815131,0.00400181029404884,0.00575708554129356,0.0124607633775538,0.0185878055209178,0.0244798849699969,22-Feb-2000
0.0016134341587994,0.00335600236509426,0.00545318678373216,0.0122419495110718,0.0190872276985663,0.0259100468581181,23-Feb-2000
0.00162305275703472,0.0033719581927097,0.00560207941513858,0.0126210581861144,0.018787319097819,0.02466984808427,24-Feb-2000
0.00195302922007876,0.00381976308052597,0.00594649293192114,0.0127791481459122,0.019947323430286,0.0271171658139111,25-Feb-2000
0.00181845228944288,0.00366882711511133,0.0058765850980536,0.012413408880759,0.0193462904628797,0.0264142549764765,28-Feb-2000
0.00161452738342547,0.00349072412307598,0.0055833596580952,0.0121578479054282,0.0186567305738388,0.0251300713216412,29-Feb-2000
0.00135817255121969,0.00296854352845524,0.00496644182179695,0.0113098048141927,0.0182378765256738,0.0252635426239735,01-Mar-2000
0.00143157676253665,0.00309249121250083,0.00507730965819649,0.0116410220776394,0.0184888207415356,0.0253709714039853,02-Mar-2000
0.00110104609927464,0.00259437786809311,0.00454608148440984,0.0108236680540009,0.0175316274096135,0.0243157344693262,03-Mar-2000
