KYTREASNOX,MCALDT,TMBIDYTM,TMASKYTM,TMYTM
2000002,2000-03-31,5.8233100077645E+00,5.8130246163309E+00,5.8181672794414E+00
2000002,2000-04-28,5.7821700070390E+00,5.7718856589005E+00,5.7770278003701E+00
2000002,2000-05-31,5.5851005620794E+00,5.5748180667170E+00,5.5799592810861E+00
2000002,2000-06-30,5.8310242225264E+00,5.8207386354513E+00,5.8258813963813E+00
2000002,2000-07-31,6.1741673820533E+00,6.1638783069644E+00,6.1690228129669E+00
2000002,2000-08-31,6.2612202115065E+00,6.2509219433292E+00,6.2560710443666E+00
2000002,2000-09-29,6.1628743450163E+00,6.1525803383134E+00,6.1577273090040E+00
2000002,2000-10-31,6.2945374072049E+00,6.2842471529632E+00,6.2893922488975E+00
2000002,2000-11-30,6.1633973377063E+00,6.1531015808061E+00,6.1582494262211E+00
2000002,2000-12-29,5.8490246276266E+00,5.8387385840258E+00,5.8438815732158E+00
2000002,2001-01-31,4.9634887569194E+00,4.9532223593722E+00,4.9583555249379E+00
2000002,2001-02-28,4.8351778781600E+00,4.8249148003272E+00,4.8300463060572E+00
2000002,2001-03-30,4.2756216503651E+00,4.2653754349305E+00,4.2704985102895E+00
2000002,2001-04-30,3.8680192994116E+00,3.8577866259378E+00,3.8629029314776E+00
2000002,2001-05-31,3.6078792588522E+00,3.5976488898610E+00,3.6027640417398E+00
2000002,2001-06-29,3.6332749383477E+00,3.6230449385224E+00,3.6281599061790E+00
2000002,2001-07-31,3.5238276952783E+00,3.5135974976122E+00,3.5187125631127E+00
2000002,2001-08-31,3.3469324403861E+00,3.3367096608117E+00,3.3418210183885E+00
2000002,2001-09-28,2.3463228116453E+00,2.3361252228857E+00,2.3412239852135E+00
2000002,2001-10-31,2.0304298661854E+00,2.0202390864117E+00,2.0253344435781E+00
2000002,2001-11-30,1.7883817759728E+00,1.7781982066731E+00,1.7832899593590E+00
2000002,2001-12-31,1.7169808317119E+00,1.7068004876129E+00,1.7118906287836E+00
2000002,2002-01-31,1.7629659692514E+00,1.7527825476940E+00,1.7578742261546E+00
2000002,2002-02-28,1.7604200896235E+00,1.7502367327016E+00,1.7553283788448E+00
2000002,2002-03-28,1.7884256543371E+00,1.7782415863761E+00,1.7833335880343E+00
2000002,2002-04-30,1.7554129233815E+00,1.7452287168950E+00,1.7503207871048E+00
2000002,2002-05-31,1.7272841954888E+00,1.7171021602250E+00,1.7221931459027E+00
2000002,2002-06-28,1.6916481904086E+00,1.6814670497855E+00,1.6865575881483E+00
2000002,2002-07-31,1.6968178461800E+00,1.6866356319689E+00,1.6917267064090E+00
2000002,2002-08-30,1.6713244815099E+00,1.6611433863251E+00,1.6662339016142E+00
2000002,2002-09-30,1.5464926444130E+00,1.5363164364007E+00,1.5414045095530E+00
2000002,2002-10-31,1.4397684783870E+00,1.4295932590181E+00,1.4346808364365E+00
2000002,2002-11-29,1.2235800553142E+00,1.2134106582336E+00,1.2184953248989E+00
2000002,2002-12-31,1.1982160991958E+00,1.1880463408525E+00,1.1931311870843E+00
2000002,2003-01-31,1.1727356197184E+00,1.1625674974776E+00,1.1676515267309E+00
2000002,2003-02-28,1.2108683488067E+00,1.2006992704660E+00,1.2057837777633E+00
2000002,2003-03-31,1.1065970100864E+00,1.0964314662938E+00,1.1015142074010E+00
2000002,2003-04-30,1.1168483066322E+00,1.1066809661352E+00,1.1117646038135E+00
2000002,2003-05-30,1.1168141019630E+00,1.1066473816767E+00,1.1117307099617E+00
2000002,2003-06-30,9.0341123181574E-01,8.9324885937730E-01,8.9833001235086E-01
